n,gamma,perceptron_weights,svm_weights,perceptron_error,svm_error,svm/percp
15,0.05272159239323819,[-5.65299597 -2.23678207],[-2.81606548 -1.32095832],0.0,0.3333333333333333,0.5116413057669986
15,0.1542295669876812,[-1.23837334  1.34148919],[-1.50759758  2.58926468],0.0,0.0,1.6411219438303783
15,0.10712975867853253,[0.42172827 0.28902281],[0.16782768 1.27778366],0.0,0.3333333333333333,2.520738480843404
15,0.04442097348277073,[ 1.92869387 -0.83116969],[ 2.38770815 -1.50315806],0.0,0.0,1.3434451070402276
15,0.005483162780021364,[0.39533762 0.11080329],[-0.09988835 -1.06483917],0.0,1.0,2.6049377422314546
15,0.031452426562767644,[-0.89601002  0.29568984],[ 0.42688374 -0.84426171],0.0,0.6666666666666666,1.0026592192255024
15,7.872542029041033,[-0.8071266 -0.0398766],[-2.0957607 -0.0541996],0.0,0.6666666666666666,2.594273880519024
15,0.014853095964911219,[0.24198288 1.42370465],[0.55681669 2.08542526],0.0,0.0,1.4946663322729865
15,0.015486544713015707,[1.12070121 1.62100367],[0.35070285 1.31427466],0.0,0.3333333333333333,0.6902456820319405
15,0.056373340226180874,[-2.06994717 -1.06941834],[-1.60717753 -0.40695194],0.0,0.6666666666666666,0.7115815935494119
15,0.23453689698962912,[-0.72856018 -0.09945667],[-1.44642155 -0.20239285],0.0,0.0,1.9862349694604449
